S.NO.,NAME OF ACCIDENT PRONE ZONE
1,AKSHARDHAM MANDIR
2,ANAND VIHAR ISBT
3,AZADPUR SABZI MANDI
4,BHALSWA CHOWK
5,BURARI CHOWK
6,C-1 JANAKPURI
7,CENTRAL DELHI
8,CHIRAG DELHI FLYOVER
9,DHAULA KUAN
10,DILSHAD GARDEN
11,DTC BUS DEPOT NAND NAGRI
12,DURGAPURI CHOWK
13,EAST DELHI
14,ESI HOSPITAL RING ROAD
15,FLYOVER RAJA RAM MARG
16,GAGAN CINEMA
17,GANDHI VIHAR BUS STAND
18,GOKALPURI
19,GTK DEPOT JAHANGIRPURI
20,HAIDER PUR
21,HANUMAN MANDIR YAMUNA BAZAR
22,HARNAM PALACE ASHOK NAGAR
23,HYAAT HOTEL
24,JAHANGIR PURI BUS STAND OUTER RING ROAD
25,JASOLA VIHAR
26,JHARERA VILLAGE
27,KARKARI MORE
28,KESHOPUR T POINT
29,KHAJOORI CHOWK
30,KHAJOORI KHAS PUSTA ROAD
31,KHAMPUR VILLAGE
32,KHICHADI PUR
33,LAJPAT RAI MARKET(LAL QILA)
34,LIBASPUR BUS STAND
35,LONI ROAD CROSSING
36,MAHIPALPUR FLYOVER
37,MAJNU KA TILA
38,MANGOLPURI FLYOVER
39,MAYA PURI CHOWK
40,METRO STATION HAIDER PUR
41,METRO STATION MADIPUR
42,METRO STATION SADAR BAZAR
43,MODI MILL FLYOVER
44,MOOL CHAND
45,MOTI BAGH FLYOVER
46,MUKARBA CHOWK
47,MUKUNDPUR CHOWK
48,MUNDKA METRO STATION
49,MURGA MANDI FLYOVER
50,NANGLI POONA
51,NARAINA
52,NEAR HALDI RAM WAZIRPUR
53,NEAR MANISH FURNITURE MKT NANGLOI ROAD
54,NIGAM BODH GHAT
55,NIRANKARI COLONY
56,NIZAMUDIN YAMUNA BRIDGE
57,NORTH DELHI
58,NORTH EAST DELHI
59,NORTH WEST DELHI
60,OKHLA MORE
61,PANCHSHEEL FLYOVER
62,PEERAGARHI CHOWK
63,POWER HOUSE MAHAVIR ENCLAVE
64,POWER HOUSE PITAMPURA
65,PREM BARI PULL
66,PUNJABI BAGH CHOWK
67,RAILWAY UNDER PULPRAHLADPUR
68,RAJA HARISHCHANDER HOSPITAL
69,RAJDHANI PARK
70,RAJOURI GARDEN
71,RAMA ROAD CROSSING
72,RML HOSPITAL
73,ROUND ABOUT SEEMAPURI
74,SANTOM HOSPITAL OUTER RING ROAD
75,SARITA VIHAR FLYOVER
76,"SEC-1,2 RED LIGHT DWARKA "
77,SEELAMPUR T POINT
78,SHAHDARA
79,SHAHDARA FLYOVER
80,SHASTRI PARK METRO STATION
81,SHASTRI PARK/IT PARK
82,SIRASPUR
83,SOUTH DELHI
84,SOUTH EAST DELHI
85,SOUTH WEST DELHI
86,SUBHASH NAGAR METRO STATION
87,SWAROOP NAGAR
88,TEES HAZARI RED LIGHT
89,TELCO GAJIPUR
90,TOLL PLAZA BADARPUR
91,TUGLAQABAD METRO STATION
92,UNDER PASS GAJIPUR
93,VIJAY GHAT
94,VIP COLLEGE PITAMPURA
95,WAZIRABAD
96,WEST DELHI
97,ZAKHIRA FLYOVER
